reportyear,geotype,geotypevalue,geoname,region_code,region_name,strata_level_name_code,strata_level_name,numerator,denominator,rate,quotient,ca_rr,dof_population
2011,CO,6029,Kern,10,San Joaquin Valley,2,Forcible rape,184,849502,,0.02165974889,,848062
2011,CO,6029,Kern,10,San Joaquin Valley,3,Murder and non-negligent manslaughter,46,849502,,0.005414937222,,848062
2011,CO,6029,Kern,10,San Joaquin Valley,4,Robbery,1029,849502,,0.1211297913,,848062
2011,CO,6029,Kern,10,San Joaquin Valley,5,Violent crime total,4447,849502,5.234831701,0.5234831701,1.274739236,848062
2011,CO,6031,Kings,10,San Joaquin Valley,1,Aggravated assault,407,154780,,0.26295387,,151797
2011,CO,6031,Kings,10,San Joaquin Valley,2,Forcible rape,30,154780,,0.01938234914,,151797
2011,CO,6031,Kings,10,San Joaquin Valley,3,Murder and non-negligent manslaughter,8,154780,,0.005168626438,,151797
2011,CO,6031,Kings,10,San Joaquin Valley,4,Robbery,97,154780,,0.06266959555,,151797
2011,CO,6031,Kings,10,San Joaquin Valley,5,Violent crime total,542,154780,3.501744411,0.3501744411,0.852713373,151797
2011,CO,6033,Lake,5,North Coast,1,Aggravated assault,250,65425,,0.3821169278,,64344
2011,CO,6033,Lake,5,North Coast,2,Forcible rape,34,65425,,0.05196790218,,64344
2011,CO,6033,Lake,5,North Coast,3,Murder and non-negligent manslaughter,3,65425,,0.004585403133,,64344
2011,CO,6033,Lake,5,North Coast,4,Robbery,44,65425,,0.06725257929,,64344
2011,CO,6033,Lake,5,North Coast,5,Violent crime total,331,65425,5.059228124,0.5059228124,1.231977829,64344
2011,CO,6035,Lassen,6,Northeast Sierra,1,Aggravated assault,100,35305,,0.2832459992,,34400
2011,CO,6035,Lassen,6,Northeast Sierra,2,Forcible rape,9,35305,,0.02549213992,,34400
2011,CO,6035,Lassen,6,Northeast Sierra,3,Murder and non-negligent manslaughter,1,35305,,0.002832459992,,34400
2011,CO,6035,Lassen,6,Northeast Sierra,4,Robbery,10,35305,,0.02832459992,,34400
2011,CO,6035,Lassen,6,Northeast Sierra,5,Violent crime total,120,35305,3.39895199,0.339895199,0.827682285,34400
2011,CO,6037,Los Angeles,14,Southern California,1,Aggravated assault,23742,9934033,,0.2389965888,,9877871
2011,CO,6037,Los Angeles,14,Southern California,2,Forcible rape,1904,9934033,,0.01916643522,,9877871
2011,CO,6037,Los Angeles,14,Southern California,3,Murder and non-negligent manslaughter,568,9934033,,0.005717718071,,9877871
2011,CO,6037,Los Angeles,14,Southern California,4,Robbery,19902,9934033,,0.2003415934,,9877871
2011,CO,6037,Los Angeles,14,Southern California,5,Violent crime total,46116,9934033,4.642223355,0.4642223355,1.13043257,9877871
2011,CO,6039,Madera,10,San Joaquin Valley,1,Aggravated assault,628,152639,,0.4114282719,,151807
2011,CO,6039,Madera,10,San Joaquin Valley,2,Forcible rape,27,152639,,0.01768879513,,151807
2011,CO,6039,Madera,10,San Joaquin Valley,3,Murder and non-negligent manslaughter,5,152639,,0.003275702802,,151807
2011,CO,6039,Madera,10,San Joaquin Valley,4,Robbery,139,152639,,0.0910645379,,151807
2011,CO,6039,Madera,10,San Joaquin Valley,5,Violent crime total,799,152639,5.234573078,0.5234573078,1.274676259,151807
2011,CO,6041,Marin,1,Bay Area,1,Aggravated assault,341,233948,,0.1457588866,,253435
